"sample_id","parcel_id","input","reference_lon","reference_lat","geocoder","matched_address","census_candidates","geocode_lon","geocode_lat","distance_m","same_cell","in_reference_disk","reference_zcta","geocode_zcta","reference_council_district","geocode_council_district","flag","reviewer_verdict","reviewer_notes"
117,"089027  00012","2275 MORNING VISTA DR, Memphis, TN",-89.84021,35.187588,"census","2275 MORNING VISTA DR, MEMPHIS, TN, 38134",1,-89.840247,35.186312,141.6,TRUE,TRUE,"38134","38134","1","1","over 100 m","",""
118,"018074 A00016","115 N BELLEVUE BL, Memphis, TN",-90.021699,35.142669,"census","115 N BELLEVUE BLVD, MEMPHIS, TN, 38104",1,-90.02125,35.142333,55.3,FALSE,TRUE,"38104","38104","6","6","","",""
119,"050066  00010","65 E MCKELLAR AV, Memphis, TN",-90.060782,35.089416,"census","65 E MCKELLAR AVE, MEMPHIS, TN, 38109",1,-90.060648,35.089557,19.8,TRUE,TRUE,"38109","38109","6","6","","",""
120,"021113  00009","921 RANDLE ST, Memphis, TN",-90.011993,35.163684,"census","921 RANDLE ST, MEMPHIS, TN, 38107",1,-90.011897,35.163938,29.5,TRUE,TRUE,"38107","38107","7","7","","",""
121,"074073 F00100","3234 THIRTEEN COLONY ML, Memphis, TN",-89.884611,35.060193,"census","3234 THIRTEEN COLONY MALL, MEMPHIS, TN, 38115",1,-89.884475,35.060154,13.1,TRUE,TRUE,"38115","38115","4","4","","",""
122,"050012  00028","2116 BENFORD ST, Memphis, TN",-90.072612,35.089839,"census","2116 BENFORD ST, MEMPHIS, TN, 38109",1,-90.072728,35.090695,95.5,TRUE,TRUE,"38109","38109","6","6","","",""
123,"080023  00049","5955 FAIRWOOD LN, Memphis, TN",-89.864033,35.11512,"census","5955 FAIRWOOD LN, MEMPHIS, TN, 38120",1,-89.863538,35.115528,63.9,TRUE,TRUE,"38120","38120","2","2","","",""
124,"039044  00008","715 FIRESTONE AV, Memphis, TN",-90.033021,35.174592,"census","715 FIRESTONE AVE, MEMPHIS, TN, 38107",1,-90.032725,35.174761,32.9,TRUE,TRUE,"38107","38107","7","7","","",""
125,"038072  00030","3712 WAYNE AV, Memphis, TN",-89.936919,35.161038,"census","3712 WAYNE AVE, MEMPHIS, TN, 38122",1,-89.936921,35.160916,13.5,TRUE,TRUE,"38122","38122","5","5","","",""
126,"069004  00008","3627 SUNRISE ST, Memphis, TN",-90.039263,35.224776,"census","3627 SUNRISE ST, MEMPHIS, TN, 38127",1,-90.039111,35.224712,15.5,TRUE,TRUE,"38127","38127","7","7","","",""
127,"076024  00017","401 SULLIVAN DR, Memphis, TN",-90.050688,35.035704,"census","401 SULLIVAN DR, MEMPHIS, TN, 38109",1,-90.050459,35.035798,23.4,TRUE,TRUE,"38109","38109","6","6","","",""
128,"075033  00011","621 GILLEAS RD, Memphis, TN",-90.084857,35.061534,"census","621 GILLEAS RD, MEMPHIS, TN, 38109",1,-90.084677,35.061638,20,TRUE,TRUE,"38109","38109","6","6","","",""
129,"053030  00020","1544 TENNYSON RD, Memphis, TN",-89.930952,35.173944,"census","1544 TENNYSON RD, MEMPHIS, TN, 38108",1,-89.931091,35.173914,13.1,TRUE,TRUE,"38108","38108","7","7","","",""
130,"047029  00030","1731 S TREZEVANT ST, Memphis, TN",-89.984642,35.098146,"census","1731 S TREZEVANT ST, MEMPHIS, TN, 38114",1,-89.984504,35.098182,13.1,FALSE,TRUE,"38114","38114","4","4","","",""
131,"025060  00019","1443 WILLIE MITCHELL BL, Memphis, TN",-90.043889,35.107704,"none (census no_match)",,0,,,,,FALSE,"38106",,"4",,"no result","",""
